section,question,Question,Answer,Keywords
1,1,What is the purpose of tracing daily numbers?,Daily numbers help track the number of sessions that need to be scheduled for the students. It gives the operations team an idea on how to plan the resources for sessions and strategize a plan for completing the sessions within the given timeline.,Daily numbers | sessions | operations team | resources | timeline
1,2,Where is the “Daily Numbers” sheet located?,OneDrive > sharing_with_vibha > Key Trackers-selected > [that year] > year_student Numbers,OneDrive | sharing_with_vibha | Key Trackers | year_student Numbers
1,3,What are the tabs you need to update in the daily numbers sheet?,"CO, CS, BS, and IP session tabs",CO | CS | BS | IP session tabs
1,4,"For each tab (CO/CS/BS/IP), what columns are used to update the student data?","“Forms Expected” sections, bifurcated by UG, MBA, Masters, and PhD.",Forms Expected | UG | MBA | Masters | PhD
1,5,How do you update numbers for Brainstorming (BS) sessions?,"Update the “number of sessions pending” column. If all sessions are done, remove the student.",BS sessions | number of sessions pending | remove student
1,6,How do you update numbers for Interview Prep (IP) sessions?,"Update the “number of hours pending” column. If hours = 0, remove the student.",IP sessions | number of hours pending | remove student
1,7,When should you NOT remove a student from the list?,VK's and Experts Advanced Apps students must never be removed from the list till their services are completed.,VK's Advanced Apps students | never remove
1,8,"After updating each section, what action must you take?","Go to the “Others” tab, take a screenshot of the updated numbers, and send it to the WhatsApp group: RI ops & admin.",Others tab | screenshot | RI ops & admin group
2,1,Why do we need to track the open Calendly slots?,Open Calendly slots help provide a view of the number of sessions you can possibly conduct in the coming week. It helps plan the sessions and ask for more slots on a need basis.,Open Calendly slots | sessions | coming week | plan | more slots
2,2,Where can you find the Calendly link for each counsellor?,Column D of the Calendly table in the Daily Numbers sheet,Column D | Calendly table | Daily Numbers sheet
2,3,How many days ahead should you check for open slots?,"7 days from today (e.g., June 24 → check till July 1)",7 days | open slots
2,4,What should you enter in Column B?,Total number of open sessions available in the next 7 days,Column DB | open sessions | next 7 days
2,5,What is Column C used for?,"Notes regarding blackout dates, slot unavailability, or special updates",Column C | blackout dates | slot unavailability | updates
2,6,What do you do after updating Calendly data?,Take a screenshot of the updated table and send it to the WhatsApp group: RI ops & admin,screenshot | updated table | RI ops & admin group
3,1,Where do you access event registration data?,ReachIvy CRM → Event Registrations section,ReachIvy CRM | Event Registrations
3,2,What steps do you take to process event data?,Select the date range (From & To = event date) → Export/download the data → Paste the data into that event's tab in the year__Online_In office events Registration sheet,select date range | export data | paste into event tab
3,3,Where do you send the final numbers?,Send them to the RI full team WhatsApp group,RI full team | WhatsApp group | final numbers
4,1,Where do you begin when working on scholarships?,Open the current year’s Scholarship applications Google sheet,Scholarship applications | current year | Google sheet
4,2,What do you check in the Form Responses tab?,Number of applicants → Add each to the 1st reviewers tab,Form Responses | number of applicants | 1st reviewers tab
4,3,What happens after a name is added to the 1st reviewers tab?,It auto-populates into the remaining reviewer tabs,Auto-populates | reviewer tabs
4,4,Where do you find shortlisted students for interviews?,In the Team Average tab → Students with an average rating of 3.4+,Team Average tab | average rating | 3.4+
4,5,Where should shortlisted students be manually added?,The To Interview tab,To Interview tab
4,6,How do you track reviewer activity?,Check how many applications each evaluator has reviewed → Record it next to their name,Reviewer activity | applications reviewed | evaluator name
4,7,How do you track completed interviews?,Update the # of completed interviews based on interview feedback rows,Completed interviews | interview feedback
4,8,How do you identify potential winners?,Check students with average rating ≥ 4 in the “Final Rating” column → Add their details (bifurcated by scholarship type) to the Potential Winners tab → Discuss borderline candidates with Vibha before confirming final list,Potential Winners tab | average rating | Final Rating column
4,9,What indicates that a student has formally accepted their scholarship?,They’ve paid the admin fee → Their record is marked in green in the Potential Winners section,Admin fee | Winner Accepted section
4,10,Who receives updates on scholarship numbers?,Send a screenshot of the scholarship table to the RI full team WhatsApp group,Scholarship table | screenshot | RI full team
4,11,Where all do we promote the ReachIvy scholarship?,"Add to website with form → Share multiple posts/reels/stories on all ReachIvy social media → Share newsletters with database → Send YAMMs and WhatsApp messages to students → Send YAMMs/emails and WhatsApps to all active partners → Send YAMMs/emails to colleges, schools, coaching classes, and foundations → Make calls to partners, foundations & schools → Ask ReachIvy interns and staff to promote in their network",Website | social media | newsletters | YAMMs | WhatsApp | partners | schools | coaching classes | foundations | interns | staff | network
5,1,How do you determine if a student is new or existing?,"Check Column A (Student ID) in the ""All payments recd"" tab → If the ID auto-populates, the student exists → If not, generate a new ID using the “Generate Client ID” button.",Column A | Student ID | All payments recd | auto-populates | Generate Client ID
5,2,What must you verify or add after creating the ID?,"Check if ""Lead Source"" and ""Source Name"" are present → If not, retrieve from HubSpot and add manually.",Lead Source | Source Name | HubSpot | add manually
5,3,What should you do if the student is doing an Application Package?,"Press the ""Export to Application"" button → If it’s a deferral student, color the row orange in the Applications tab → Ensure “P” or “VKP” is marked correctly in the respective columns.",Export to Application | deferral student | color orange | Applications tab | P | VKP
5,4,What should you do if the student is doing a Counselling Package?,"Press the ""Export to Counselling Package"" button → Ensure “P” (pending) sessions are marked correctly as per the signed package.",Export to Counselling Package | pending sessions | signed package
5,5,What about a Career Test package?,"Press the ""Export to Career Test"" button to populate the Career Test tab.",Export to Career Test | Career Test tab
5,6,What is the process for Single Counselling or College Selection?,"Press the ""Export to Counselling/College Selection"" button to populate the relevant tab.",Export to Counselling | College Selection | relevant tab
5,7,What if the student has signed up for standalone Interview Prep?,"Use the ""Export to Interview"" button to populate the Interviews tab.",Export to Interview | Interviews tab
5,8,What is the process to create the student's Box folder?,Run Cygwin/Terminal → Use command: cd Desktop/Students → Use script: ./directorycreator.sh (Student ID) → Enter student's name when prompted.,Cygwin | Terminal | directorycreator.sh | Student ID
5,9,What if the folder can’t be created using Cygwin?,Create a copy of the Sample Box Folder from Box → Rename it with the student’s name and ID → Update internal folder names → Ensure final folder is created later using Cygwin.,Sample Box Folder | rename | student name | student ID | Cygwin
5,10,"After creating the folder, what is the next step?",Move the student folder to: Box > ReachIvy Business > Students > Degree > Class of (Year).,Move folder | Box | ReachIvy Business | Students | Degree | Class of Year
5,11,What permissions should be shared with the student?,Main Folder: Viewer/Uploader → Forms: Viewer → Manuals: Previewer.,Viewer/Uploader | Viewer | Previewer | permissions
5,12,What email should be sent to the student and who should be in CC?,Use the canned response from info@reachivy.com → CC the advisory team → Send to both student and parents → Remove ops email.,Canned response | info@reachivy.com | advisory | student | parents
5,13,What additional step applies specifically for UG students?,"Always CC parents in every communication → If parent email is missing, request it from advisory.",CC parents | UG students | request email
5,14,What is the process for unpaid students (by Vibha's approval only)?,Manually enter student details to generate ID → Manually add to relevant tab → Follow Box and form-sharing steps as usual.,Unpaid students | Vibha's approval | generate ID | Box | form-sharing
5,15,What should you do in the Single Counselling tab once form is received?,"Add lead counsellor initials → Mention initials next to session date → Color code: Yellow = session done, feedback not uploaded; Green = feedback uploaded.",Single Counselling | lead counsellor initials | session date | color code
5,16,How is the validity of single sessions or packages decided?,"Single sessions = 3 months → Counselling: 2 sessions = 6 months, 4 = 1 year, 8 = 2 years → Application: valid till 31st March of respective financial year.",Validity | single sessions | counselling | application | financial year
5,17,What must you verify in the Counselling Package tab?,"Validity = 1 year → Add initials and dates → Color code accordingly → For mentorship winners, add note, mark P in S1/S2, and highlight in blue.",Counselling Package | validity | initials | mentorship winners | color code
5,18,What is required in the Career Test tab?,Ensure data auto-populates → Check Career Central weekly → Update Column F with test status → Confirm the test is uploaded to Box.,Career Test | auto-populates | Career Central | Column F | test status
5,19,What are the steps for College Selection tab?,Add lead counsellor initials → Mention initials with session date → Use yellow/green for session and feedback status.,College Selection | lead counsellor initials | session date | feedback
5,20,What must you check in the Applications tab?,Confirm data auto-populates → Reflect extra services from HubSpot → Fill Columns L–T → Track resume/essays/reco → Color code and follow up weekly.,Applications | auto-populates | HubSpot | Columns L–T | follow up
5,21,"What is the process for the ""Next Year"" tab?","Use ""Export to Next Year"" button → Copy-paste to next FY sheet → Share with sales team → After deferral fee, move data back to Applications tab.",Export to Next Year | FY sheet | sales team | deferral fee | Applications tab
5,22,What steps are involved in managing the Essay tab?,"Use ""Export to Essay"" only once → Add school names manually → Yellow = brainstorming in progress, Green = complete → Assign editor, color code, send weekly reminders.",Export to Essay | school names | brainstorming | assign editor | color code
